timestamp,open,high,low,close,volume
2017-06-23,20.6500,20.9700,20.2610,20.6500,12022706
2017-06-16,21.9400,22.1700,20.5000,20.5900,13631952
2017-06-09,22.2500,22.5700,21.3000,22.0100,13772908
2017-06-02,22.1800,22.9600,21.8900,22.6700,16571070
2017-05-26,24.3500,24.5995,21.2500,22.2200,31901186
2017-05-19,24.1400,24.6800,23.5200,24.2200,10779934
2017-05-12,24.0000,25.3100,23.7800,24.0300,11432442
2017-05-05,22.7700,24.1400,22.5600,24.0000,10294770
2017-04-28,23.4000,23.9750,22.4700,22.6900,12329072
2017-04-21,22.4500,23.4250,22.4000,23.1900,10894647
2017-04-13,21.6000,22.4400,21.5600,22.3800,10610345
2017-04-07,22.5200,22.6200,21.5800,21.6600,14165635
2017-03-31,20.3300,22.7400,20.2400,22.5500,19655709
2017-03-24,24.6600,24.8400,20.6600,20.7000,29615267
2017-03-17,24.7700,24.8000,24.0000,24.6400,17249864
2017-03-10,25.2800,25.3000,24.4200,25.1800,12418656
2017-03-03,26.2100,26.6799,23.5700,25.2800,10026853
2017-02-24,25.8400,26.5000,25.4500,26.2800,8552386
2017-02-17,25.7500,26.0800,25.2500,25.5700,8198189
2017-02-10,24.7400,25.7500,24.5100,25.6600,8281768
2017-02-03,24.1200,24.9000,23.8450,24.7400,8975672
2017-01-27,23.6700,24.6900,23.4500,24.3100,12754107
2017-01-20,22.7400,23.7500,22.6800,23.5800,11733502
2017-01-13,24.6000,25.1300,22.2710,22.7300,23899810
2017-01-06,25.4400,26.0500,24.5000,24.5200,9556875
2016-12-30,25.4100,26.0000,25.0800,25.2600,6774493
2016-12-23,25.4100,26.5400,25.0400,25.4100,8501790
2016-12-16,26.0600,26.8450,25.1000,25.4200,12266977
2016-12-09,24.4400,26.3300,24.2700,26.0200,12194487
2016-12-02,26.0000,26.0000,24.1300,24.2700,11342206
2016-11-25,23.5300,26.4850,23.1600,25.8200,17675643
2016-11-18,22.4400,23.5400,22.1900,23.4600,8822144
2016-11-11,21.0000,22.5200,20.5010,22.3200,11228433
2016-11-04,23.9500,24.1800,20.1000,20.7300,26934542
2016-10-28,25.3700,25.3700,23.6900,23.9000,11681914
2016-10-21,25.3200,25.5700,24.4500,25.0100,13903208
2016-10-14,26.8400,27.1400,25.1100,25.3800,12005099
2016-10-07,27.5900,27.8600,26.3000,26.6800,11804904
2016-09-30,28.1100,28.2000,27.1250,27.5900,7231242
2016-09-23,27.3900,28.5800,27.3900,28.1900,10039146
2016-09-16,27.3800,27.6300,26.6920,27.0900,12419252
2016-09-09,28.3800,28.6700,27.1700,27.1800,7674679
2016-09-02,28.7500,28.9700,27.9700,28.3900,13878641
2016-08-26,32.0000,32.6700,28.6900,28.7400,27846222
2016-08-19,31.3100,32.0800,30.5000,31.7200,8524944
2016-08-12,30.1400,31.7300,29.5000,31.3500,10666525
2016-08-05,30.9700,30.9900,28.5700,30.0400,12487384
2016-07-29,30.5200,31.5750,30.0500,30.9500,9974197
2016-07-22,28.0000,31.8500,27.8700,30.8100,23056639
2016-07-15,28.1100,29.2000,27.9800,27.9900,14010052
2016-07-08,27.0300,27.3900,25.7300,27.3700,9006154
2016-07-01,25.3100,27.3800,25.1800,27.0600,12920427
2016-06-24,26.4500,26.8200,25.2600,25.3400,8999407
2016-06-17,26.4500,26.6700,25.3500,26.1500,13933793
2016-06-10,28.2700,28.7850,26.1600,26.5300,13616401
2016-06-03,28.8900,29.3500,28.3100,28.6400,17836866
2016-05-27,28.6100,30.4242,27.6500,28.8000,21114547
2016-05-20,28.7600,29.4000,27.5200,28.4800,15432409
2016-05-13,30.1000,30.6600,28.4100,28.7300,11315991
2016-05-06,32.8100,32.8600,29.3650,30.0900,12262309
2016-04-29,32.6800,33.7200,32.3710,32.8000,11152482
2016-04-22,31.8600,33.2900,31.6300,32.8000,31000711
2016-04-15,29.7400,32.1400,29.7100,31.7900,11329020
2016-04-08,31.3900,31.4155,29.0000,29.4900,11339606
2016-04-01,28.9500,32.4300,28.4000,31.3400,18800761
2016-03-24,30.9200,31.6600,29.6100,30.2700,11965770
2016-03-18,30.7600,32.2900,29.9700,30.8300,13913596
2016-03-11,31.0300,31.7000,29.8100,30.7500,11420847
2016-03-04,30.4400,32.9500,29.1600,31.2300,14673196
2016-02-26,28.5300,30.6100,28.2600,30.5400,7773069
2016-02-19,27.3300,29.8000,26.8900,28.1900,8002935
2016-02-12,26.5500,27.9600,26.1379,26.9800,11663064
2016-02-05,26.2000,27.1900,24.7500,26.8300,10397240
2016-01-29,25.6000,26.7800,24.9050,26.2100,9934394
2016-01-22,25.9600,26.0300,24.3300,25.6700,8902881
2016-01-15,28.3300,29.5500,24.8500,25.6400,22043126
2016-01-08,27.0400,29.0100,27.0100,28.3700,16864560
2015-12-31,28.3700,28.9400,28.0300,28.0400,7500919
2015-12-24,28.5300,29.1000,28.0500,28.3700,10132541
2015-12-18,30.0000,31.1500,27.9000,28.7600,15413821
2015-12-11,33.2000,34.0300,29.9400,30.0000,19006220
2015-12-04,35.5600,35.8300,32.1900,33.3000,15518325
2015-11-27,33.1400,38.2300,33.0000,36.0100,25541536
2015-11-20,37.0000,39.7700,36.9000,39.2600,12300472
2015-11-13,46.7700,46.8200,37.0700,37.1800,16328804
